,A_mu_list_1,A_mu_list_2,Average_list_1,Average_list_2,F_mu_list_1,F_mu_list_2,M_list_1,M_list_2
435,,0.0,0.22443789,0.1644261,,2.1208112239837646,8.585944175720215,6.3563408851623535
436,,83317264.0,0.24454132,0.22365227,,,10.047541618347168,9.642156600952148
437,,,0.22096275,0.16253754,,2.1208088397979736,9.108222007751465,5.99579381942749
438,,176359632.0,0.19954461,0.13908228,0.0,9108648960.0,8.31428050994873,5.338171482086182
439,,0.0,0.21907324,0.16575047,2.0355923175811768,0.0,8.562195777893066,6.106601238250732
440,0.012569456361234188,,0.23779067,0.20670669,0.0,0.0,9.246944427490234,7.265108108520508
441,,0.0,0.21039659,0.17395267,0.0,,10.215133666992188,7.081088066101074
442,0.0,0.0,0.24723642,0.20100625,0.0,,9.380899429321289,7.3277668952941895
443,,0.03404076397418976,0.21228173,0.15695941,,0.0,8.274316787719727,5.8569111824035645
444,2.207936307743741e-12,0.0,0.26916185,0.212938,2.0355024337768555,,11.2132568359375,8.864485740661621
445,,,0.18652314,0.1261929,0.0,9108135936.0,7.419696807861328,4.959171772003174
446,,,0.22284514,0.17543168,,0.0,9.462925910949707,7.043825626373291
447,,0.0,0.24343216,0.23241141,,0.0,12.128755569458008,9.332791328430176
448,4.50732680346011e-12,0.043900374323129654,0.19873889,0.13187405,,,7.858270645141602,4.192767143249512
449,,,0.24646845,0.20307863,,,9.790254592895508,8.475442886352539
450,0.0,0.024310892447829247,0.27083692,0.20912842,,,9.886031150817871,8.006077766418457
451,0.0,,0.2556473,0.17284842,0.0,,9.244868278503418,6.073496341705322
452,0.0,0.025034520775079727,0.23379956,0.18907037,2.0355746746063232,,9.726325988769531,7.9114298820495605
453,0.0,,0.23448046,0.18922608,2.0355114936828613,9104216064.0,8.780860900878906,7.118404865264893
454,2.921612387782324e-12,0.0,0.22043212,0.17513187,0.0,9103858688.0,9.88810920715332,6.092653751373291
455,0.018063385039567947,0.0,0.18996604,0.14466825,2.03548002243042,0.0,7.489299297332764,5.36060905456543
456,0.0,,0.20218517,0.14545663,2.035489559173584,,8.487686157226562,6.039921283721924
457,0.014686601236462593,0.02837362512946129,0.23291686,0.17458573,,,8.893946647644043,5.999835968017578
458,0.0,0.025444816797971725,0.22767249,0.189007,,0.0,9.842240333557129,8.208867073059082
459,,0.023253904655575752,0.21544853,0.19633317,,4.935101216574367e-10,8.822587013244629,8.621735572814941
460,,,0.21514282,0.1659153,2.035478115081787,0.0,7.428414821624756,6.290653228759766
461,,0.04119405522942543,0.23471594,0.15067151,0.0,4.935296060715189e-10,8.539559364318848,5.158316135406494
462,,0.0,0.23966256,0.20827496,0.0,,10.600418090820312,8.430914878845215
463,1.9967207141174947e-12,0.01419502217322588,0.27069923,0.27712518,0.0,9104369664.0,11.79218578338623,11.50599193572998
464,,0.0,0.22324748,0.17741787,4.739191261649012e-10,9103886336.0,8.782804489135742,6.954700946807861
465,,138837392.0,0.20674786,0.16056755,2.035493850708008,4.935605257827547e-10,8.49656867980957,5.904751777648926
466,2.6718469017111834e-12,,0.25240073,0.18940423,0.0,,10.351507186889648,6.493932247161865
467,,104402024.0,0.24777713,0.20043246,,,10.35806941986084,7.073106288909912
468,2.470527905515385e-12,,0.252344,0.18787736,4.739327263969528e-10,9107857408.0,10.639557838439941,6.2387800216674805
469,79933992.0,,0.19197538,0.14576413,4.739280634602494e-10,4.937359965317967e-10,7.415950775146484,5.548923492431641
470,,9.920898304260906e-12,0.2033839,0.1376446,,9106472960.0,7.576826095581055,5.219482898712158
471,1.8310099530322033e-12,94752512.0,0.29348046,0.22869447,0.0,,11.891016960144043,8.291074752807617
472,0.0,0.0,0.21239106,0.14693768,0.0,4.936515085596227e-10,7.875145435333252,5.594862937927246
473,0.0,,0.20739107,0.15473121,8742065152.0,2.1202659606933594,8.822813034057617,5.310450077056885
474,,0.0,0.24053355,0.19294849,,0.0,9.76916790008545,6.903717041015625
475,0.0,,0.25314978,0.21021862,,0.0,10.49165153503418,7.785247802734375
476,65972116.0,0.0,0.19904834,0.14300022,,9107375104.0,8.578848838806152,5.038416385650635
477,76064936.0,0.0,0.22448687,0.15810159,2.0353193283081055,0.0,8.567275047302246,5.688398838043213
478,3.8993495932171385e-12,0.0,0.20876597,0.1513799,,0.0,8.745591163635254,5.991724967956543
479,0.0,,0.22736864,0.17070219,,2.1197330951690674,9.480993270874023,6.309030532836914
480,,0.02292986400425434,0.24409679,0.20849574,,9104299008.0,9.689666748046875,8.5364351272583
481,72471496.0,0.0,0.19698758,0.14567858,0.0,,7.8859100341796875,5.109301567077637
482,69003992.0,,0.21840124,0.17552605,0.0,9104537600.0,8.61580753326416,6.357263088226318
483,0.0,7.355654280116752e-12,0.20973586,0.15622227,8740830208.0,,8.57589054107666,5.135064125061035
484,55929320.0,,0.22411796,0.17492074,,,10.602365493774414,6.310866355895996
485,0.0,,0.21286409,0.15275623,,9104774144.0,8.395427703857422,6.891870498657227
486,67434056.0,0.02676934003829956,0.21461695,0.17564847,4.738494041589547e-10,0.0,9.176462173461914,6.717337608337402
487,,0.03332070633769035,0.20801072,0.1641675,2.0351710319519043,4.935569175579246e-10,8.54845905303955,5.4819416999816895
488,0.016216440126299858,0.0,0.2080373,0.15456416,0.0,9104225280.0,8.641561508178711,6.098425388336182
489,,,0.26404402,0.24507129,4.738510694934917e-10,,11.595491409301758,9.55673599243164
490,0.013571434654295444,0.0,0.21531731,0.1948773,4.738430758877143e-10,0.0,9.594869613647461,7.728776454925537
491,0.0,,0.25665075,0.17609233,2.0351693630218506,0.0,8.832612991333008,6.101139545440674
492,4.367004587807477e-12,0.0,0.19809535,0.13835101,,9102763008.0,8.122725486755371,4.781401634216309
493,79005080.0,0.0,0.18944037,0.15605432,8741121024.0,2.1189510822296143,7.753180027008057,7.030170440673828
494,0.010018089786171913,,0.26929715,0.21211231,0.0,,11.286755561828613,8.32375717163086
495,5.090961506526437e-12,1.1156985058047297e-11,0.19447686,0.12479718,2.035161256790161,,7.446847438812256,4.656778812408447
496,,,0.21457,0.15794,,,9.054680824279785,5.2910566329956055
497,4.825711878708727e-12,,0.20104536,0.12457697,2.035191774368286,4.933494723857734e-10,7.429383754730225,4.060436248779297
498,0.0,0.020654592663049698,0.2403834,0.22512627,0.0,,9.865745544433594,8.423103332519531
499,0.0,0.028679369017481804,0.27504542,0.1976256,,9099662336.0,10.187461853027344,6.817843914031982
500,0.015099172480404377,0.0,0.23145783,0.18675882,8740676608.0,4.9331505547201e-10,8.989590644836426,7.297420501708984
501,,,0.23036085,0.14568873,,,8.47762680053711,4.82164192199707
502,0.0,,0.22485127,0.14236152,4.738275327653696e-10,4.933273789475834e-10,8.732577323913574,5.037839889526367
503,0.0,,0.22172648,0.15990011,2.035083532333374,0.0,9.860544204711914,6.418653964996338
504,,,0.2149436,0.17506048,,0.0,9.236908912658691,6.480959415435791
505,0.010247125290334225,,0.25518498,0.2329829,0.0,0.0,10.743597030639648,8.359238624572754
506,,0.0,0.20214166,0.14264604,4.738373582391375e-10,2.119311809539795,8.71437931060791,4.702531337738037
507,0.006793179549276829,,0.31443796,0.26935092,4.738393566405819e-10,0.0,11.406181335449219,10.154516220092773
508,3.5257313561742887e-12,6.957444603078455e-12,0.21557736,0.16984837,0.0,,9.00143051147461,6.482234954833984
509,0.0,0.019755665212869644,0.2745651,0.2347765,4.738355818822981e-10,,11.237964630126953,10.167119026184082
510,0.0,,0.24289513,0.1771315,0.0,,9.42095947265625,6.330049514770508
511,49580652.0,0.0,0.24373414,0.21697457,4.738288095218479e-10,9098844160.0,10.275650024414062,9.371302604675293
512,0.012661490589380264,6.304436139803471e-12,0.21820335,0.18100765,0.0,9097965568.0,9.607111930847168,6.97698974609375
513,0.009550554677844048,,0.26449093,0.21870594,2.035125255584717,9098305536.0,11.454272270202637,8.160049438476562
514,,,0.22689699,0.22797886,,,10.2001371383667,9.629627227783203
515,3.389619531238286e-12,0.0,0.22043028,0.1821249,,2.1181118488311768,9.413076400756836,7.63212251663208
516,36227740.0,0.0,0.2796964,0.23049681,2.0351691246032715,,11.298357009887695,8.072509765625
517,,0.02473864145576954,0.24619256,0.19839461,4.738354708599957e-10,9096594432.0,10.268708229064941,7.615627288818359
518,,0.06346063315868378,0.17948672,0.10635184,,4.931005048725012e-10,6.037477016448975,3.4494376182556152
519,0.0,5.846967441464068e-12,0.2515719,0.2045341,0.0,,9.996086120605469,7.671568393707275
520,0.0,159342896.0,0.17419265,0.13456711,0.0,2.118051767349243,6.029960632324219,5.190976142883301
521,0.0,,0.19746076,0.13071905,8740299776.0,,6.862497806549072,4.088294506072998
522,,177734528.0,0.21304682,0.13964231,2.03494930267334,4.932380615052523e-10,7.937162399291992,4.693520545959473
523,0.010395199991762638,86765064.0,0.2668963,0.23434749,,,10.421051979064941,9.522412300109863
524,2.9278424303058603e-12,97270352.0,0.24956468,0.21533594,2.0350067615509033,2.118267297744751,9.40725040435791,7.62888240814209
525,54881480.0,0.0,0.2330578,0.19238932,2.034956455230713,9098165248.0,10.29798412322998,7.658879280090332
526,,0.0,0.18356071,0.12470718,4.737889525152639e-10,2.118523120880127,6.865663051605225,4.1807708740234375
527,,0.0,0.17958607,0.12443449,2.034834146499634,4.931827168874747e-10,6.674706935882568,4.689405918121338
528,0.012875008396804333,0.025686651468276978,0.2357377,0.19318703,2.0348968505859375,,9.93426513671875,7.903845310211182
529,5.445277909132962e-12,0.0,0.20131503,0.13759542,,2.117920160293579,6.785881042480469,5.410041332244873
530,,0.0,0.24844094,0.19555661,8739637248.0,,9.25912857055664,7.770663738250732
531,0.0,0.050682928413152695,0.17956243,0.11743663,,0.0,6.477484226226807,4.532843589782715
532,,0.02734132669866085,0.22882134,0.18163791,4.737495951090409e-10,0.0,9.168680191040039,7.731328964233398
533,0.016029972583055496,,0.23010997,0.1410496,0.0,,8.965073585510254,5.336062431335449
534,,0.0,0.19954357,0.14287266,4.737355507877794e-10,,8.106879234313965,4.962713718414307
535,4.249728173533196e-12,0.0,0.21360418,0.1512882,,2.1170709133148193,8.095096588134766,5.664261817932129
536,0.0,0.0,0.19259393,0.13409269,0.0,4.928648045243733e-10,8.509082794189453,5.386137962341309
537,,0.0,0.20812158,0.16102919,,,8.801556587219238,5.923129558563232
538,0.0,,0.25513604,0.21753511,,,10.338562965393066,8.147690773010254
539,0.0,,0.22947074,0.16401687,,4.928487062905162e-10,9.49558162689209,6.5309953689575195
540,0.01933693140745163,,0.18734048,0.13629654,4.737520375996951e-10,0.0,7.208327770233154,5.482734203338623
541,0.009210574440658092,0.0,0.26502684,0.22300124,8739476480.0,0.0,11.15942668914795,9.38422966003418
542,0.015300808474421501,,0.2025996,0.13805665,,0.0,8.167854309082031,4.369777202606201
543,3.4282327410900537e-12,106633016.0,0.22403875,0.19374001,,9091019776.0,9.218186378479004,7.169461250305176
544,5.439169080412309e-12,,0.17315629,0.121642925,0.0,4.928151775551726e-10,6.064685821533203,4.70094108581543
545,0.019439561292529106,0.0,0.20048207,0.15336235,0.0,0.0,8.575942993164062,5.551417827606201
546,0.011460378766059875,,0.23863545,0.22157523,,,10.449241638183594,9.4048433303833
547,57846916.0,0.038348812609910965,0.21216261,0.15597406,2.0347063541412354,4.926229424384587e-10,8.851705551147461,5.064643859863281
548,,0.023281626403331757,0.24146782,0.2002753,,9087100928.0,11.308955192565918,6.853593826293945
549,,,0.19648543,0.13853948,2.034789562225342,,7.8959455490112305,5.12929630279541
550,0.0,0.0,0.26690733,0.23092493,2.0346627235412598,4.925619356832556e-10,11.241233825683594,8.39775562286377
551,,7.36505474663307e-12,0.20420061,0.15374014,,0.0,8.513525009155273,6.0328545570373535
552,,110456648.0,0.27039006,0.19677283,8738921472.0,0.0,9.332775115966797,7.23795747756958
553,,0.04931154102087021,0.20119004,0.13176265,,,7.615907669067383,4.4109930992126465
554,,0.0,0.27349767,0.29212314,0.0,0.0,11.65262508392334,11.793709754943848
555,2.68807589035025e-12,,0.24949864,0.22311476,8738787328.0,0.0,10.129791259765625,10.736282348632812
556,,0.0,0.2676227,0.2119941,2.034630537033081,,11.854714393615723,7.428736686706543
557,,0.0,0.25039867,0.19830087,,4.925475027839354e-10,10.834524154663086,7.264933109283447
558,,,0.21793838,0.16606902,4.737153447287312e-10,,8.45603084564209,6.721170902252197
559,48492372.0,,0.25628588,0.2108365,,0.0,10.693805694580078,7.815608978271484
560,60819104.0,107776496.0,0.22662783,0.18120839,2.034571647644043,,9.175579071044922,7.575804233551025
561,0.015369204804301262,0.0,0.22752315,0.16013668,4.737231162899036e-10,,9.17706298828125,5.720407009124756
562,0.020674096420407295,,0.19919278,0.14292155,,9087042560.0,7.437773704528809,4.985567092895508
563,,0.0,0.20797163,0.16237463,,0.0,8.786833763122559,6.6754889488220215
564,53544564.0,0.0,0.23711957,0.16545147,,,9.490999221801758,5.978536605834961
565,3.829004387861934e-12,,0.21414162,0.1604778,,,8.728635787963867,5.220952987670898
566,,0.0,0.2941106,0.22467783,0.0,0.0,11.716279029846191,8.172323226928711
567,0.0,,0.2633482,0.20170176,,,11.390941619873047,7.232428073883057
568,,0.026083219796419144,0.24594878,0.20180443,0.0,,10.743226051330566,6.974096775054932
569,,0.0,0.22741532,0.19148691,0.0,4.924751717538811e-10,9.781180381774902,7.693994045257568
570,0.013786006718873978,,0.21481532,0.16426806,8738325504.0,,9.23098373413086,5.7548089027404785
571,0.01301651168614626,0.0,0.25153875,0.20257859,4.736999126286889e-10,9083747328.0,8.905527114868164,7.047501564025879
572,0.01627567782998085,0.04771653190255165,0.22595777,0.14606515,,,8.578011512756348,5.47836971282959
573,4.56579912766486e-12,8.647155040619747e-12,0.18252003,0.1390933,8737945600.0,0.0,7.440927028656006,5.107500076293945
574,0.0,,0.21699134,0.1530132,,0.0,8.101181983947754,6.124561309814453
575,0.0,120952512.0,0.2145956,0.17752719,8738203648.0,,9.259401321411133,6.5011982917785645
576,0.010952076874673367,5.091913436033879e-12,0.25389627,0.2154799,,9083068416.0,10.410057067871094,8.453996658325195
577,2.4790735870389158e-12,,0.2646433,0.20037802,2.0345535278320312,0.0,10.0565767288208,7.198873519897461
578,0.013974334113299847,0.03120844066143036,0.22861789,0.1740257,2.0345840454101562,4.924604057876536e-10,9.003328323364258,6.050180912017822
579,0.0,0.0,0.23641159,0.1857092,,,9.91172981262207,6.536422252655029
580,50606704.0,,0.23875907,0.20821571,2.0345568656921387,0.0,9.730186462402344,8.120972633361816
581,0.01684631034731865,135965088.0,0.20688845,0.16943987,,9086068736.0,9.584928512573242,7.199526309967041
582,0.0,,0.2237258,0.14064832,,0.0,8.232300758361816,4.756290912628174
583,0.016879918053746223,,0.19699395,0.14379838,2.0345818996429443,9085889536.0,7.941164970397949,5.675768852233887
